iter	MAE
0	14.89789278
1	14.40317464
2	13.99084985
3	13.60962092
4	13.223751
5	12.85903726
6	12.50945749
7	12.07534031
8	11.68882229
9	11.29641973
10	11.04257139
11	10.73615991
12	10.46844536
13	10.20476967
14	9.956973589
15	9.799675558
16	9.57455886
17	9.348959959
18	9.137683443
19	8.931887748
20	8.728585938
21	8.514711803
22	8.329938607
23	8.152038149
24	8.003940238
25	7.865016862
26	7.698483404
27	7.576731722
28	7.456935116
29	7.327368656
30	7.24433831
31	7.145321752
32	7.08450756
33	6.968434921
34	6.880880594
35	6.801904196
36	6.668068328
37	6.544973788
38	6.480827582
39	6.375350708
40	6.266475785
41	6.167523398
42	6.07076366
43	5.983993742
44	5.897248687
45	5.865197571
46	5.816762361
47	5.744140498
48	5.673809455
49	5.607968615
50	5.5820157
51	5.537830421
52	5.511764195
53	5.467107169
54	5.420215565
55	5.372175951
56	5.358951261
57	5.330439655
58	5.297715729
59	5.261487127
60	5.225445813
61	5.195967605
62	5.167666793
63	5.13217634
64	5.102441101
65	5.09207852
66	5.060837681
67	5.037554231
68	5.018528661
69	5.012927347
70	5.00241945
71	4.987005601
72	4.96520938
73	4.959197577
74	4.948429807
75	4.932576037
76	4.922832894
77	4.910950586
78	4.90719611
79	4.890015472
80	4.863712278
81	4.843225713
82	4.835514703
83	4.83489291
84	4.824698798
85	4.819148924
86	4.802518107
87	4.80202045
88	4.784765576
89	4.780009047
90	4.777516043
91	4.775227699
92	4.760143901
93	4.759810151
94	4.745552857
95	4.731823502
96	4.718392766
97	4.705990649
98	4.691119713
99	4.688609241
100	4.686786459
101	4.683203965
102	4.667979824
103	4.655168701
104	4.642416303
105	4.641785847
106	4.624205998
107	4.612403968
108	4.601399186
109	4.598722498
110	4.595779507
111	4.595503755
112	4.594974708
113	4.594697825
114	4.594430809
115	4.594184014
116	4.593944188
117	4.593721521
118	4.593569728
119	4.592086664
120	4.591884621
121	4.591696975
122	4.591520798
123	4.581444593
124	4.581286732
125	4.581137155
126	4.580991321
127	4.568408149
128	4.568278399
129	4.567435663
130	4.567315079
131	4.567202963
