iter	Passed	Remaining
0	4	7290
1	9	7412
2	14	7397
3	19	7377
4	25	7476
5	29	7467
6	34	7419
7	39	7365
8	44	7297
9	49	7322
10	53	7297
11	58	7239
12	62	7170
13	66	7104
14	71	7057
15	75	7015
16	80	7015
17	84	6947
18	88	6927
19	93	6893
20	97	6847
21	101	6800
22	104	6739
23	108	6702
24	113	6692
25	117	6647
26	121	6623
27	125	6608
28	129	6561
29	133	6523
30	137	6505
31	141	6475
32	144	6432
33	148	6400
34	152	6370
35	156	6351
36	160	6332
37	164	6312
38	167	6293
39	172	6280
40	176	6263
41	180	6254
42	184	6242
43	188	6234
44	192	6213
45	195	6191
46	199	6178
47	203	6163
48	207	6153
49	212	6153
50	216	6151
51	221	6165
52	225	6161
53	229	6154
54	234	6147
55	238	6157
56	243	6156
57	247	6158
58	252	6155
59	256	6154
60	261	6174
61	266	6176
62	271	6189
63	275	6183
64	279	6176
65	284	6179
66	288	6178
67	293	6180
68	298	6181
69	302	6179
70	307	6184
71	311	6185
72	316	6186
73	320	6183
74	325	6192
75	330	6197
76	335	6202
77	340	6201
78	344	6197
79	349	6200
80	353	6197
81	358	6198
82	362	6191
83	367	6190
84	371	6190
85	376	6186
86	381	6190
87	385	6187
88	389	6177
89	393	6170
90	397	6160
91	401	6150
92	405	6140
93	409	6132
94	414	6124
95	418	6115
96	422	6110
97	426	6102
98	430	6095
99	434	6087
100	439	6082
101	443	6073
102	447	6065
103	451	6060
104	455	6055
105	459	6043
106	464	6041
107	468	6033
108	472	6023
109	475	6013
110	479	6003
111	483	5993
112	487	5981
113	491	5972
114	495	5965
115	499	5955
116	502	5943
117	506	5935
118	510	5927
119	514	5917
120	518	5908
121	522	5902
122	527	5900
123	531	5896
124	535	5892
125	539	5884
126	544	5883
127	548	5879
128	552	5870
129	556	5865
130	560	5858
131	565	5857
132	569	5854
133	573	5849
134	578	5847
135	582	5838
136	586	5830
137	590	5826
138	594	5821
139	599	5824
140	604	5821
141	607	5812
142	612	5808
143	616	5804
144	620	5797
145	624	5790
146	628	5787
147	632	5780
148	636	5772
149	640	5767
150	644	5761
151	648	5753
152	652	5744
153	656	5735
154	660	5729
155	664	5722
156	668	5715
157	671	5706
158	675	5699
159	679	5690
160	683	5682
161	687	5674
162	690	5666
163	694	5658
164	698	5648
165	702	5641
166	705	5632
167	709	5625
168	713	5616
169	717	5610
170	721	5605
171	725	5599
172	728	5590
173	732	5581
174	736	5574
175	739	5565
176	743	5555
177	746	5546
178	750	5537
179	754	5530
180	758	5524
181	761	5516
182	765	5509
183	769	5504
184	773	5500
185	777	5492
186	781	5483
187	785	5481
188	789	5476
189	793	5471
190	797	5466
191	802	5463
192	806	5459
193	810	5456
194	814	5453
195	819	5450
196	823	5443
197	826	5436
198	830	5430
199	834	5425
200	838	5420
201	842	5415
202	846	5409
203	850	5403
204	854	5399
205	858	5394
206	862	5387
207	866	5383
208	871	5381
209	875	5375
210	879	5369
211	882	5363
212	886	5358
213	890	5351
214	894	5345
215	898	5340
216	902	5335
217	906	5330
218	910	5324
219	914	5319
220	918	5313
221	921	5306
222	925	5300
223	929	5296
224	933	5290
225	937	5284
226	941	5277
227	945	5273
228	949	5267
229	952	5260
230	956	5254
231	960	5250
232	964	5245
233	968	5239
234	972	5233
235	976	5228
236	979	5222
237	983	5216
238	987	5211
239	991	5207
240	995	5203
241	1000	5199
242	1004	5197
243	1009	5194
244	1013	5190
245	1017	5187
246	1021	5183
247	1025	5179
248	1030	5177
249	1034	5174
250	1038	5169
251	1043	5166
252	1047	5164
253	1051	5159
254	1055	5154
255	1059	5150
256	1064	5147
257	1068	5142
258	1072	5137
259	1076	5133
260	1080	5130
261	1084	5125
262	1089	5122
263	1093	5120
264	1097	5114
265	1101	5108
266	1105	5104
267	1109	5098
268	1113	5094
269	1118	5093
270	1122	5089
271	1126	5084
272	1130	5080
273	1134	5076
274	1138	5070
275	1142	5065
276	1146	5060
277	1149	5054
278	1153	5048
279	1157	5041
280	1160	5035
281	1164	5029
282	1168	5024
283	1172	5018
284	1175	5012
285	1179	5007
286	1183	5001
287	1187	4996
288	1191	4992
289	1194	4985
290	1198	4980
291	1202	4975
292	1206	4969
293	1210	4964
294	1213	4957
295	1217	4951
296	1220	4945
297	1224	4938
298	1227	4932
299	1231	4925
300	1235	4919
301	1238	4914
302	1242	4907
303	1245	4900
304	1249	4894
305	1253	4889
306	1256	4882
307	1260	4876
308	1263	4870
309	1267	4866
310	1271	4859
311	1274	4854
312	1278	4848
313	1282	4842
314	1285	4837
315	1289	4832
316	1293	4826
317	1296	4820
318	1300	4814
319	1303	4807
320	1307	4802
321	1310	4796
322	1314	4791
323	1318	4786
324	1322	4780
325	1326	4775
326	1329	4770
327	1333	4765
328	1337	4760
329	1341	4755
330	1345	4750
331	1349	4746
332	1353	4743
333	1357	4738
334	1361	4733
335	1365	4730
336	1370	4728
337	1374	4725
338	1378	4722
339	1382	4717
340	1387	4714
341	1391	4711
342	1395	4706
343	1398	4701
344	1403	4698
345	1407	4693
346	1411	4688
347	1415	4684
348	1419	4680
349	1422	4675
350	1426	4669
351	1430	4664
352	1434	4660
353	1438	4655
354	1441	4650
355	1445	4645
356	1449	4640
357	1453	4636
358	1457	4632
359	1461	4629
360	1465	4624
361	1469	4618
362	1472	4613
363	1476	4608
364	1480	4604
365	1484	4600
366	1488	4594
367	1492	4590
368	1496	4585
369	1500	4581
370	1503	4576
371	1507	4571
372	1511	4567
373	1515	4561
374	1518	4556
375	1522	4550
376	1526	4547
377	1530	4543
378	1534	4538
379	1538	4534
380	1542	4529
381	1545	4524
382	1550	4521
383	1554	4517
384	1558	4513
385	1562	4508
386	1566	4504
387	1569	4499
388	1573	4495
389	1577	4490
390	1581	4486
391	1585	4481
392	1589	4477
393	1593	4473
394	1597	4469
395	1601	4464
396	1605	4460
397	1609	4456
398	1613	4452
399	1617	4447
400	1621	4443
401	1625	4439
402	1629	4435
403	1633	4430
404	1637	4426
405	1641	4421
406	1645	4418
407	1649	4414
408	1653	4410
409	1657	4405
410	1661	4402
411	1665	4397
412	1668	4392
413	1673	4388
414	1677	4385
415	1681	4381
416	1685	4377
417	1689	4373
418	1694	4370
419	1698	4366
420	1702	4362
421	1706	4358
422	1710	4354
423	1713	4349
424	1717	4344
425	1721	4339
426	1725	4335
427	1729	4330
428	1732	4326
429	1736	4322
430	1740	4317
431	1744	4313
432	1748	4308
433	1752	4305
434	1757	4301
435	1761	4299
436	1766	4297
437	1771	4295
438	1776	4292
439	1780	4290
440	1785	4287
441	1790	4284
442	1794	4281
443	1799	4279
444	1804	4276
445	1808	4274
446	1813	4271
447	1817	4268
448	1822	4265
449	1827	4263
450	1831	4260
451	1836	4257
452	1841	4255
453	1846	4253
454	1851	4251
455	1855	4248
456	1860	4246
457	1865	4244
458	1870	4243
459	1875	4241
460	1880	4238
461	1886	4237
462	1891	4235
463	1896	4234
464	1900	4231
465	1905	4227
466	1909	4224
467	1915	4224
468	1921	4224
469	1927	4225
470	1932	4222
471	1937	4219
472	1942	4216
473	1946	4213
474	1951	4210
475	1955	4206
476	1959	4203
477	1964	4200
478	1969	4197
479	1973	4193
480	1978	4191
481	1983	4188
482	1987	4185
483	1993	4184
484	1998	4182
485	2003	4179
486	2008	4176
487	2012	4172
488	2016	4168
489	2020	4164
490	2025	4161
491	2029	4157
492	2032	4152
493	2036	4147
494	2040	4143
495	2044	4138
496	2048	4134
497	2052	4130
498	2057	4126
499	2061	4122
500	2066	4119
501	2070	4115
502	2074	4111
503	2078	4106
504	2082	4102
505	2085	4097
506	2091	4095
507	2095	4091
508	2099	4087
509	2103	4083
510	2108	4080
511	2112	4075
512	2116	4071
513	2120	4067
514	2124	4064
515	2128	4059
516	2133	4055
517	2137	4051
518	2141	4046
519	2144	4041
520	2148	4036
521	2152	4032
522	2156	4027
523	2159	4022
